Warps, Block size, Execution Time (ms)
662464, 1, 1.54106e+10
331232, 2, 1.54106e+07
220822, 3, 15411.6
165616, 4, 16.3116
132493, 5, 0.740906
110411, 6, 0.60981
94638, 7, 0.523532
82808, 8, 0.460494
73608, 9, 0.407844
66247, 10, 0.36911
60224, 11, 0.336322
55206, 12, 0.310072
50959, 13, 0.287063
47319, 14, 0.267103
44165, 15, 0.250983
41404, 16, 0.238283
38969, 17, 0.224393
36804, 18, 0.21256
34867, 19, 0.202967
33124, 20, 0.193592
31546, 21, 0.185339
30112, 22, 0.177901
28803, 23, 0.169701
27603, 24, 0.163283
26499, 25, 0.156678
25480, 26, 0.15061
24536, 27, 0.145203
23660, 28, 0.140987
22844, 29, 0.135458
22083, 30, 0.131205
21370, 31, 0.127078
20702, 32, 0.123895
40150, 33, 0.124606
38970, 34, 0.125771
37856, 35, 0.12061
36804, 36, 0.118962
35810, 37, 0.119692
34868, 38, 0.119312
33974, 39, 0.11837
33124, 40, 0.109884
32316, 41, 0.113342
31546, 42, 0.111823
30814, 43, 0.111104
30112, 44, 0.109951
29444, 45, 0.109223
28804, 46, 0.108431
28190, 47, 0.107963
27604, 48, 0.0889279
27040, 49, 0.105865
26500, 50, 0.103606
25980, 51, 0.102205
25480, 52, 0.100627
25000, 53, 0.0992712
24536, 54, 0.0988353
24090, 55, 0.096766
23660, 56, 0.0937614
23246, 57, 0.093806
22844, 58, 0.0929755
22458, 59, 0.0926376
22084, 60, 0.0905806
21722, 61, 0.0897527
21370, 62, 0.0888302
21032, 63, 0.0881161
20702, 64, 0.0717933
30576, 65, 0.106648
30114, 66, 0.10494
29664, 67, 0.104269
29229, 68, 0.103791
28803, 69, 0.102992
28392, 70, 0.102952
27993, 71, 0.101704
27603, 72, 0.0965943
27225, 73, 0.0995416
26859, 74, 0.0983694
26499, 75, 0.0988404
26151, 76, 0.0970999
25812, 77, 0.0965105
25482, 78, 0.0956113
25158, 79, 0.0951838
24843, 80, 0.0839018
24537, 81, 0.093617
24237, 82, 0.0928942
23946, 83, 0.0923378
23661, 84, 0.0916248
23382, 85, 0.0908269
23112, 86, 0.0909334
22845, 87, 0.0900475
22584, 88, 0.0878034
22332, 89, 0.0888468
22083, 90, 0.0880436
21840, 91, 0.0882812
21603, 92, 0.0867559
21372, 93, 0.0862889
21144, 94, 0.0856549
20922, 95, 0.085239
20703, 96, 0.0724882
27320, 97, 0.100367
27040, 98, 0.0986391
26768, 99, 0.09817
26500, 100, 0.0970077
26240, 101, 0.0968038
25980, 102, 0.0972217
25728, 103, 0.0956179
25480, 104, 0.0920867
25240, 105, 0.0938728
25000, 106, 0.0934248
24768, 107, 0.0931595
24536, 108, 0.093416
24312, 109, 0.0920747
24092, 110, 0.0915728
23876, 111, 0.0913893
23660, 112, 0.0839052
23452, 113, 0.0914668
23248, 114, 0.0895074
23044, 115, 0.0893062
22844, 116, 0.0888235
22652, 117, 0.088711
22460, 118, 0.0882169
22268, 119, 0.0885274
22084, 120, 0.0853075
21900, 121, 0.0867918
21724, 122, 0.0861069
21544, 123, 0.0859079
21372, 124, 0.0852463
21200, 125, 0.0861649
21032, 126, 0.0843692
20868, 127, 0.0839341
20704, 128, 0.0633642
25680, 129, 0.0898968
25480, 130, 0.0890346
25285, 131, 0.0899742
25095, 132, 0.0883769
24905, 133, 0.0891088
24720, 134, 0.0882893
24540, 135, 0.0888319
24360, 136, 0.0851395
24180, 137, 0.0884365
24005, 138, 0.0875266
23830, 139, 0.0867463
23660, 140, 0.0861363
23495, 141, 0.0864942
23330, 142, 0.0869574
23165, 143, 0.0864202
23005, 144, 0.0755001
22845, 145, 0.0863281
22690, 146, 0.0856984
22535, 147, 0.0854374
22385, 148, 0.0857917
22235, 149, 0.0850842
22085, 150, 0.0847574
21940, 151, 0.0845482
21795, 152, 0.0820426
21650, 153, 0.0839206
21510, 154, 0.0842875
21370, 155, 0.0833513
21235, 156, 0.0825153
21100, 157, 0.0826757
20965, 158, 0.082407
20835, 159, 0.0822931
20705, 160, 0.0671476
24690, 161, 0.0869905
24540, 162, 0.0870946
24390, 163, 0.0875728
24240, 164, 0.085739
24090, 165, 0.085927
23946, 166, 0.086345
23802, 167, 0.085742
23664, 168, 0.0843859
23520, 169, 0.085813
23382, 170, 0.0845758
23250, 171, 0.0850633
23112, 172, 0.0845901
22980, 173, 0.0870352
22848, 174, 0.0844023
22716, 175, 0.0840856
22584, 176, 0.0745731
22458, 177, 0.0839746
22332, 178, 0.084553
22206, 179, 0.084212
22086, 180, 0.083328
21966, 181, 0.083458
21840, 182, 0.0830852
21726, 183, 0.0831122
21606, 184, 0.0810926
21486, 185, 0.0828589
21372, 186, 0.0824859
21258, 187, 0.0822809
21144, 188, 0.0816344
21036, 189, 0.081767
20922, 190, 0.0825536
20814, 191, 0.081597
20706, 192, 0.0665482
24031, 193, 0.0877073
23905, 194, 0.0877553
23786, 195, 0.087275
23660, 196, 0.0876102
23541, 197, 0.0869116
23422, 198, 0.0867703
23303, 199, 0.0867255
23191, 200, 0.0834304
23072, 201, 0.0857921
22960, 202, 0.0866461
22848, 203, 0.0856285
22736, 204, 0.0851563
22624, 205, 0.08521
22512, 206, 0.0851419
22407, 207, 0.0848593
22295, 208, 0.0760527
22190, 209, 0.0845319
22085, 210, 0.0841015
21980, 211, 0.0842718
21875, 212, 0.0836259
21777, 213, 0.0836836
21672, 214, 0.0843656
21574, 215, 0.0836067
21469, 216, 0.0810338
21371, 217, 0.0833897
21273, 218, 0.0827458
21175, 219, 0.0828383
21084, 220, 0.0828668
20986, 221, 0.0821549
20895, 222, 0.0823249
20797, 223, 0.0819111
20706, 224, 0.0657358
23560, 225, 0.0866672
23456, 226, 0.0870831
23352, 227, 0.0865045
23248, 228, 0.0856447
23144, 229, 0.0858946
23048, 230, 0.0854482
22944, 231, 0.0859534
22848, 232, 0.0834831
22752, 233, 0.0858719
22656, 234, 0.0854878
22552, 235, 0.0846563
22464, 236, 0.0844223
22368, 237, 0.084421
22272, 238, 0.0852112
22176, 239, 0.0842309
22088, 240, 0.075683
21992, 241, 0.0839442
21904, 242, 0.0836433
21816, 243, 0.083607
21728, 244, 0.083815
21632, 245, 0.0831453
21544, 246, 0.0828672
21464, 247, 0.0830435
21376, 248, 0.0801513
21288, 249, 0.0824302
21200, 250, 0.0829072
21120, 251, 0.0821284
21032, 252, 0.0815689
20952, 253, 0.0818567
20872, 254, 0.0812522
20784, 255, 0.0813204
