Method, Threads, Block Size, Average Execution Time (µs)
Coalesced, 662464, 32, 312.909
Non-coalesced, 662464, 32, 295.729
Coalesced, 662464, 34, 272.578
Non-coalesced, 662464, 34, 240.647
Coalesced, 662464, 36, 231.32
Non-coalesced, 662464, 36, 220.186
Coalesced, 662464, 38, 186.42
Non-coalesced, 662464, 38, 231.651
Coalesced, 662464, 40, 431.59
Non-coalesced, 662464, 40, 295.382
Coalesced, 662464, 42, 436.128
Non-coalesced, 662464, 42, 304.338
Coalesced, 662464, 44, 331.57
Non-coalesced, 662464, 44, 454.506
Coalesced, 662464, 46, 429.502
Non-coalesced, 662464, 46, 298.646
Coalesced, 662464, 48, 369.275
Non-coalesced, 662464, 48, 427.862
Coalesced, 662464, 50, 194.339
Non-coalesced, 662464, 50, 199.145
Coalesced, 662464, 52, 221.14
Non-coalesced, 662464, 52, 205.647
Coalesced, 662464, 54, 224.688
Non-coalesced, 662464, 54, 250.091
Coalesced, 662464, 56, 277.106
Non-coalesced, 662464, 56, 242.022
Coalesced, 662464, 58, 168.795
Non-coalesced, 662464, 58, 192.227
Coalesced, 662464, 60, 206.633
Non-coalesced, 662464, 60, 183.894
Coalesced, 662464, 62, 345.037
Non-coalesced, 662464, 62, 342.03
Coalesced, 662464, 64, 288.832
Non-coalesced, 662464, 64, 441.305
Coalesced, 662464, 66, 338.692
Non-coalesced, 662464, 66, 548.284
Coalesced, 662464, 68, 217.36
Non-coalesced, 662464, 68, 269.035
Coalesced, 662464, 70, 220.683
Non-coalesced, 662464, 70, 238.273
Coalesced, 662464, 72, 228.01
Non-coalesced, 662464, 72, 160.964
Coalesced, 662464, 74, 225.938
Non-coalesced, 662464, 74, 203.923
Coalesced, 662464, 76, 190.389
Non-coalesced, 662464, 76, 212.061
Coalesced, 662464, 78, 196.836
Non-coalesced, 662464, 78, 309.446
Coalesced, 662464, 80, 259.958
Non-coalesced, 662464, 80, 373.554
Coalesced, 662464, 82, 257.602
Non-coalesced, 662464, 82, 385.812
Coalesced, 662464, 84, 317.712
Non-coalesced, 662464, 84, 424.893
Coalesced, 662464, 86, 390.607
Non-coalesced, 662464, 86, 326.451
Coalesced, 662464, 88, 440.352
Non-coalesced, 662464, 88, 300.634
Coalesced, 662464, 90, 204.781
Non-coalesced, 662464, 90, 216.456
Coalesced, 662464, 92, 304.362
Non-coalesced, 662464, 92, 391.266
Coalesced, 662464, 94, 243.61
Non-coalesced, 662464, 94, 446.818
Coalesced, 662464, 96, 289.878
Non-coalesced, 662464, 96, 446.796
Coalesced, 662464, 98, 260.732
Non-coalesced, 662464, 98, 380.084
Coalesced, 662464, 100, 179.144
Non-coalesced, 662464, 100, 204.584
Coalesced, 662464, 102, 218.442
Non-coalesced, 662464, 102, 204.985
Coalesced, 662464, 104, 297.653
Non-coalesced, 662464, 104, 187.417
Coalesced, 662464, 106, 200.873
Non-coalesced, 662464, 106, 251.641
Coalesced, 662464, 108, 266.697
Non-coalesced, 662464, 108, 277.797
Coalesced, 662464, 110, 217.852
Non-coalesced, 662464, 110, 239.54
Coalesced, 662464, 112, 258.407
Non-coalesced, 662464, 112, 247.312
Coalesced, 662464, 114, 269.233
Non-coalesced, 662464, 114, 188.921
Coalesced, 662464, 116, 221.358
Non-coalesced, 662464, 116, 264.855
Coalesced, 662464, 118, 227.207
Non-coalesced, 662464, 118, 174.583
Coalesced, 662464, 120, 202.11
Non-coalesced, 662464, 120, 207.125
Coalesced, 662464, 122, 225.383
Non-coalesced, 662464, 122, 149.262
Coalesced, 662464, 124, 167.022
Non-coalesced, 662464, 124, 196.597
Coalesced, 662464, 126, 232.935
Non-coalesced, 662464, 126, 218.424
Coalesced, 662464, 128, 163.167
Non-coalesced, 662464, 128, 149.549
Coalesced, 662464, 130, 175.941
Non-coalesced, 662464, 130, 167.539
